state,month_year,cocaine,heroin,methadone,number_of_deaths,number_drug_overdose_death,opioids,percent_drugs_specified,psychostimulants,unemployment_data
DC,Jul-2017,144,175,30,6314,383,305,98.9556135770235,13,0.0
DC,Jul-2018,125,95,15,6184,286,206,97.9020979020979,12,0.0
DC,Jun-2015,39,53,5,5678,119,83,100,5,0.0
DC,Jun-2016,60,113,15,5731,208,163,99.0384615384615,3,0.0
DC,Jun-2017,143,177,31,6328,384,305,99.4791666666667,13,0.0
DC,Jun-2018,120,94,15,6175,280,205,97.1428571428571,11,0.0
DC,Mar-2015,42,49,7,5704,115,80,100,3,0.0
DC,Mar-2016,42,89,11,5620,161,124,100,5,0.0
DC,Mar-2017,123,176,30,6227,357,286,99.4397759103641,7,0.0
DC,Mar-2018,127,112,18,6236,302,219,97.682119205298,15,0.0
DC,May-2015,43,53,6,5706,118,83,100,3,0.0
DC,May-2016,57,107,15,5719,198,155,99.4949494949495,5,0.0
DC,May-2017,131,178,31,6287,380,304,99.2105263157895,12,0.0
DC,May-2018,130,98,15,6180,288,207,97.2222222222222,12,0.0
DC,Nov-2015,32,77,7,5754,135,102,100,5,0.0
DC,Nov-2016,97,137,20,5933,289,221,99.3079584775086,5,0.0
DC,Nov-2017,138,144,27,6257,346,268,98.2658959537572,14,0.0
DC,Oct-2015,31,69,8,5719,126,95,100,5,0.0
DC,Oct-2016,83,122,16,5876,259,195,99.2277992277992,4,0.0
DC,Oct-2017,149,160,29,6301,371,290,98.3827493261456,14,0.0
DC,Sep-2015,29,64,8,5683,122,92,100,5,0.0
DC,Sep-2016,80,120,15,5869,247,187,99.1902834008097,3,0.0
DC,Sep-2017,146,166,31,6302,380,298,98.4210526315789,12,0.0
DE,Apr-2015,0,0,0,8580,200,0,0,0,4.9
DE,Apr-2016,0,0,0,8530,199,0,0,0,4.5
DE,Apr-2017,0,0,0,9150,313,0,0,0,4.6
DE,Apr-2018,0,0,0,9268,360,0,0,0,3.9
DE,Aug-2015,0,0,0,8648,192,0,0,0,4.8
DE,Aug-2016,0,0,0,8666,245,0,0,0,4.5
DE,Aug-2017,0,0,0,9089,326,0,0,0,4.5
DE,Aug-2018,0,0,0,9520,381,0,0,0,3.7
DE,Dec-2015,0,0,0,8591,195,0,0,0,4.6
DE,Dec-2016,0,0,0,8980,285,0,0,0,4.6
DE,Dec-2017,0,0,0,9132,341,0,0,0,4.2
DE,Feb-2015,0,0,0,8561,208,0,0,0,5.0
DE,Feb-2016,0,0,0,8473,189,0,0,0,4.5
DE,Feb-2017,0,0,0,9085,309,0,0,0,4.6
DE,Feb-2018,0,0,0,9195,338,0,0,0,4.0
DE,Jan-2015,0,0,0,8485,210,0,0,0,5.1
DE,Jan-2016,0,0,0,8485,181,0,0,0,4.6
DE,Jan-2017,0,0,0,9058,310,0,0,0,4.6
DE,Jan-2018,0,0,0,9132,330,0,0,0,4.1
DE,Jul-2015,0,0,0,8642,202,0,0,0,4.8
DE,Jul-2016,0,0,0,8609,233,0,0,0,4.5
DE,Jul-2017,0,0,0,9108,320,0,0,0,4.5
DE,Jul-2018,0,0,0,9486,363,0,0,0,3.7
DE,Jun-2015,0,0,0,8577,199,0,0,0,4.9
DE,Jun-2016,0,0,0,8571,221,0,0,0,4.5
DE,Jun-2017,0,0,0,9098,313,0,0,0,4.5
DE,Jun-2018,0,0,0,9430,367,0,0,0,3.8
DE,Mar-2015,0,0,0,8551,208,0,0,0,5.0
DE,Mar-2016,0,0,0,8555,188,0,0,0,4.5
DE,Mar-2017,0,0,0,9099,312,0,0,0,4.6
DE,Mar-2018,0,0,0,9225,354,0,0,0,4.0
DE,May-2015,0,0,0,8583,195,0,0,0,4.9
DE,May-2016,0,0,0,8553,216,0,0,0,4.5
DE,May-2017,0,0,0,9119,310,0,0,0,4.6
DE,May-2018,0,0,0,9339,366,0,0,0,3.8
DE,Nov-2015,0,0,0,8666,194,0,0,0,4.7
DE,Nov-2016,0,0,0,8889,268,0,0,0,4.5
DE,Nov-2017,0,0,0,9047,345,0,0,0,4.3
DE,Oct-2015,0,0,0,8661,187,0,0,0,4.7
DE,Oct-2016,0,0,0,8809,254,0,0,0,4.5
DE,Oct-2017,0,0,0,9016,338,0,0,0,4.3
DE,Sep-2015,0,0,0,8686,201,0,0,0,4.8
DE,Sep-2016,0,0,0,8740,245,0,0,0,4.5
DE,Sep-2017,0,0,0,9045,329,0,0,0,4.4
FL,Apr-2015,0,0,0,192268,2886,0,0,0,5.6
FL,Apr-2016,0,0,0,195883,3703,0,0,0,4.8
FL,Apr-2017,0,0,0,201341,5386,0,0,0,4.3
FL,Apr-2018,0,0,0,208894,5268,0,0,0,3.7
FL,Aug-2015,0,0,0,194364,3204,0,0,0,5.3
FL,Aug-2016,0,0,0,197300,4091,0,0,0,4.8
FL,Aug-2017,0,0,0,202940,5627,0,0,0,4.1
FL,Aug-2018,0,0,0,209175,5043,0,0,0,3.4
FL,Dec-2015,0,0,0,194297,3352,0,0,0,5.1
FL,Dec-2016,0,0,0,199964,4996,0,0,0,4.7
FL,Dec-2017,0,0,0,206171,5440,0,0,0,4.0
FL,Feb-2015,0,0,0,190591,2824,0,0,0,5.7
FL,Feb-2016,0,0,0,194386,3401,0,0,0,4.9
FL,Feb-2017,0,0,0,200708,5230,0,0,0,4.5
FL,Feb-2018,0,0,0,208895,5418,0,0,0,3.9
FL,Jan-2015,0,0,0,189170,2755,0,0,0,5.8
FL,Jan-2016,0,0,0,193810,3324,0,0,0,5.0
FL,Jan-2017,0,0,0,200883,5179,0,0,0,4.6
FL,Jan-2018,0,0,0,208171,5452,0,0,0,3.9
FL,Jul-2015,0,0,0,193875,3117,0,0,0,5.4
FL,Jul-2016,0,0,0,196733,3973,0,0,0,4.8
FL,Jul-2017,0,0,0,202400,5602,0,0,0,4.1
FL,Jul-2018,0,0,0,209556,5126,0,0,0,3.5
FL,Jun-2015,0,0,0,193387,2983,0,0,0,5.5
FL,Jun-2016,0,0,0,196273,3843,0,0,0,4.8
FL,Jun-2017,0,0,0,202314,5676,0,0,0,4.2
FL,Jun-2018,0,0,0,209228,5128,0,0,0,3.6
FL,Mar-2015,0,0,0,191745,2862,0,0,0,5.7
FL,Mar-2016,0,0,0,195215,3596,0,0,0,4.9
FL,Mar-2017,0,0,0,200881,5287,0,0,0,4.4
FL,Mar-2018,0,0,0,208927,5292,0,0,0,3.8
FL,May-2015,0,0,0,193067,2958,0,0,0,5.6
FL,May-2016,0,0,0,196050,3759,0,0,0,4.8
FL,May-2017,0,0,0,201706,5535,0,0,0,4.2
FL,May-2018,0,0,0,208959,5231,0,0,0,3.7
FL,Nov-2015,0,0,0,195311,3340,0,0,0,5.1
FL,Nov-2016,0,0,0,199256,4836,0,0,0,4.7
FL,Nov-2017,0,0,0,205023,5415,0,0,0,4.0
FL,Oct-2015,0,0,0,195599,3341,0,0,0,5.2
FL,Oct-2016,0,0,0,198220,4579,0,0,0,4.8
FL,Oct-2017,0,0,0,204665,5475,0,0,0,4.0
FL,Sep-2015,0,0,0,195097,3270,0,0,0,5.3
FL,Sep-2016,0,0,0,197602,4279,0,0,0,4.8
FL,Sep-2017,0,0,0,203978,5592,0,0,0,4.0
GA,Apr-2015,0,0,0,79111,1270,0,0,0,6.2
GA,Apr-2016,0,0,0,80405,1291,0,0,0,5.4
GA,Apr-2017,0,0,0,82588,1467,0,0,0,4.9
GA,Apr-2018,0,0,0,85183,1436,0,0,0,4.1
GA,Aug-2015,0,0,0,80081,1327,0,0,0,5.8
GA,Aug-2016,0,0,0,81003,1275,0,0,0,5.3
GA,Aug-2017,0,0,0,83122,1501,0,0,0,4.5
GA,Aug-2018,0,0,0,85516,1440,0,0,0,3.8
GA,Dec-2015,0,0,0,80541,1308,0,0,0,5.6
GA,Dec-2016,0,0,0,81783,1370,0,0,0,5.3
GA,Dec-2017,0,0,0,83679,1516,0,0,0,4.3
GA,Feb-2015,0,0,0,78215,1235,0,0,0,6.3
GA,Feb-2016,0,0,0,80280,1277,0,0,0,5.5
GA,Feb-2017,0,0,0,82143,1418,0,0,0,5.1
GA,Feb-2018,0,0,0,85230,1459,0,0,0,4.2
GA,Jan-2015,0,0,0,77687,1206,0,0,0,6.4
GA,Jan-2016,0,0,0,80247,1299,0,0,0,5.5
GA,Jan-2017,0,0,0,82150,1398,0,0,0,5.2
GA,Jan-2018,0,0,0,84837,1479,0,0,0,4.3
GA,Jul-2015,0,0,0,79994,1330,0,0,0,5.9
GA,Jul-2016,0,0,0,80602,1270,0,0,0,5.3
GA,Jul-2017,0,0,0,83087,1493,0,0,0,4.6
GA,Jul-2018,0,0,0,85277,1438,0,0,0,3.8
GA,Jun-2015,0,0,0,79559,1311,0,0,0,6.0
GA,Jun-2016,0,0,0,80535,1279,0,0,0,5.3
GA,Jun-2017,0,0,0,82946,1485,0,0,0,4.7
GA,Jun-2018,0,0,0,85390,1432,0,0,0,3.9
GA,Mar-2015,0,0,0,78805,1257,0,0,0,6.3
GA,Mar-2016,0,0,0,80292,1278,0,0,0,5.4
GA,Mar-2017,0,0,0,82436,1436,0,0,0,5.0
GA,Mar-2018,0,0,0,85090,1468,0,0,0,4.2
GA,May-2015,0,0,0,79186,1289,0,0,0,6.1
GA,May-2016,0,0,0,80430,1268,0,0,0,5.3
GA,May-2017,0,0,0,82813,1484,0,0,0,4.8
GA,May-2018,0,0,0,85418,1438,0,0,0,4.0
GA,Nov-2015,0,0,0,80919,1315,0,0,0,5.6
GA,Nov-2016,0,0,0,81392,1344,0,0,0,5.3
GA,Nov-2017,0,0,0,83665,1506,0,0,0,4.3
GA,Oct-2015,0,0,0,80715,1337,0,0,0,5.7
GA,Oct-2016,0,0,0,81277,1298,0,0,0,5.4
GA,Oct-2017,0,0,0,83588,1520,0,0,0,4.4
GA,Sep-2015,0,0,0,80392,1314,0,0,0,5.7
GA,Sep-2016,0,0,0,81280,1289,0,0,0,5.4
GA,Sep-2017,0,0,0,83199,1499,0,0,0,4.4
HI,Apr-2015,0,0,0,11031,157,0,0,0,3.8
HI,Apr-2016,0,0,0,11057,191,0,0,0,3.0
HI,Apr-2017,0,0,0,11205,180,0,0,0,2.5
HI,Apr-2018,0,0,0,11668,233,0,0,0,2.3
HI,Aug-2015,0,0,0,11116,149,0,0,0,3.4
HI,Aug-2016,0,0,0,10892,203,0,0,0,2.9
HI,Aug-2017,0,0,0,11409,188,0,0,0,2.3
HI,Aug-2018,0,0,0,11634,217,0,0,0,2.5
HI,Dec-2015,0,0,0,11208,171,0,0,0,3.1
HI,Dec-2016,0,0,0,11041,199,0,0,0,2.8
HI,Dec-2017,0,0,0,11508,202,0,0,0,2.3
HI,Feb-2015,0,0,0,11076,161,0,0,0,3.9
HI,Feb-2016,0,0,0,11065,181,0,0,0,3.0
HI,Feb-2017,0,0,0,11111,190,0,0,0,2.7
HI,Feb-2018,0,0,0,11576,213,0,0,0,2.3
HI,Jan-2015,0,0,0,11026,157,0,0,0,4.0
HI,Jan-2016,0,0,0,11070,174,0,0,0,3.1
HI,Jan-2017,0,0,0,11142,203,0,0,0,2.7
HI,Jan-2018,0,0,0,11516,202,0,0,0,2.3
HI,Jul-2015,0,0,0,11111,147,0,0,0,3.5
HI,Jul-2016,0,0,0,10896,193,0,0,0,3.0
HI,Jul-2017,0,0,0,11384,193,0,0,0,2.3
HI,Jul-2018,0,0,0,11658,221,0,0,0,2.5
HI,Jun-2015,0,0,0,11100,147,0,0,0,3.6
HI,Jun-2016,0,0,0,10901,194,0,0,0,3.0
HI,Jun-2017,0,0,0,11380,188,0,0,0,2.4
HI,Jun-2018,0,0,0,11639,221,0,0,0,2.4
HI,Mar-2015,0,0,0,11073,158,0,0,0,3.9
HI,Mar-2016,0,0,0,11067,187,0,0,0,3.0
HI,Mar-2017,0,0,0,11136,182,0,0,0,2.6
HI,Mar-2018,0,0,0,11657,221,0,0,0,2.3
HI,May-2015,0,0,0,11063,163,0,0,0,3.7
HI,May-2016,0,0,0,10969,190,0,0,0,3.0
HI,May-2017,0,0,0,11306,190,0,0,0,2.5
HI,May-2018,0,0,0,11619,215,0,0,0,2.3
HI,Nov-2015,0,0,0,11203,165,0,0,0,3.2
HI,Nov-2016,0,0,0,10939,195,0,0,0,2.8
